price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
10.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2026,6,2,1,2,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_b_1_kanal_ultra_luxurious_designer_house_for_sale_in_dha-2_islamabad-52433320-3197-1.html
2.4 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Drawing Room,,1,,,2,,https://www.zameen.com/Property/b_17_faisal_margalla_city_luxury_5_marla_house_for_sale_in_faisal_margalla_city_islamabad_prime_location_ready_to_move-54353069-13424-1.html
12 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2025,2,2,2,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_stunning_brand-new_designer_6-bedroom_luxury_home_in_bahria_enclave_sector_c_golden_canal-54229023-11973-1.html
3.98 Crore,6.7,Marla,Islamabad,"E-11, Islamabad556.7 Marla",House,Bathrooms: 6,Servant Quarters,2020,Double Glazed Windows,Drawing Room,2,2,2,https://www.zameen.com/Property/islamabad_e-11_urgent_sale_double_storey_house-54067401-329-1.html
10.5 Crore,14,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,1998,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/g_9_g-9_1_g_-9_1_house_for_sale_14_marla_ideal_location-54128349-3384-1.html
12 Crore,14,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2015,4,1,1,2,,https://www.zameen.com/Property/g_9_g-9_4_g-9_4_house_for_sale_main_road-54273618-3387-1.html
12.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,3,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_1_kanal_luxurious_house_for_sale_at_dha_2-54238686-339-1.html
5.65 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2021,1,1,1,1,,https://www.zameen.com/Property/islamabad_top_city_1_prime_location_house_is_for_sale-53103301-1383-1.html
3.9 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_brand_new_house-52363771-1383-1.html
7.5 Crore,1,Kanal,Islamabad,Top City 1,House,Bathrooms: 4,Servant Quarters,2024,2,Drawing Room,Steam Room,1,,https://www.zameen.com/Property/islamabad_top_city_1_a_20_marla_house_in_top_city_1_is_on_the_market_for_sale-52702576-1383-1.html
9.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_white_palace_1_kanal_contemporary_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54202136-339-1.html
9.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_contemporary_designer_1_kanal_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54202057-339-1.html
9.9 Crore,1,Kanal,Islamabad,,House,,,2020,Double Glazed Windows,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_your_dream_one_kanal_house_in_islamabad_dha_phase_2-54197724-339-1.html
11.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_minimalist_designer_brand_new_house_ready_for_sale_in_dha_defense_phase_2_islamabad-54192203-339-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2022,1,1,,2,,https://www.zameen.com/Property/naval_anchorage_naval_anchorage_-_block_g_naval_anchorage_islamabad-54335795-9158-1.html
34 Crore,1,Kanal,Islamabad,F-7,House,,,,,,,,,https://www.zameen.com/Property/islamabad_f-7_elite_investment_500_sq_yards_house_leased_to_european_tenant_3_600_month-54075611-165-1.html
11 Crore,1,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_1_kanal_designer_house_near_to_park_in_sector_c-54315554-11973-1.html
3.95 Crore,4,Marla,Islamabad,G-13,House,,,,,,,,,https://www.zameen.com/Property/islamabad_g-13_house_is_available_for_sale-54038735-330-1.html
5.5 Crore,5.8,Marla,Islamabad,,House,Bathrooms: 3,Drawing Room,,,,,1300,,https://www.zameen.com/Property/f_10_f-10_markaz_premium_1300_sq_ft_corner_flat_for_sale_in_ahmed_center_f-10_markaz_islamabad-54341300-3280-1.html
1.75 Crore,6.1,Marla,Islamabad,,House,Bathrooms: 2,Servant Quarters: 1,2016,,1,1,1,,https://www.zameen.com/Property/dha_defence_phase_1_business_bay_dha_dha_transfer_apartment_beautiful_view_for_sale-54291764-8422-1.html
6 Crore,6,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/bahria_enclave_2_agro_farming_scheme_stunning_and_affordable_farm_house_available_for_sale_in_agro_farming_scheme-54322555-10456-1.html
5.6 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,2,1,,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_10_marla_designer_new_house_for_sale_in_sector_a_bahria_enclave_islamabad-54299966-11970-1.html
