price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
1.68 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2025,2,2,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_8_marla_brown_structure_house_for_sale_in_multi_gardens_b-17_islamabad-54202169-3120-1.html
3.99 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_8_marla_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54202243-3120-1.html
30 Crore,2,Kanal,Islamabad,F-10,House,Bathrooms: 5,Servant Quarters: 2,2017,4,2,1,2,,https://www.zameen.com/Property/islamabad_f-10_beautiful_house_available_for_sale_in_f10-51241046-162-1.html
35 Crore,2,Kanal,Islamabad,F-10,House,Bathrooms: 7,Servant Quarters: 2,,7,2,,3,,https://www.zameen.com/Property/islamabad_f-10_1000_sqy_luxury_house_with_extra_land_and_sun-facing_corner-53033014-162-1.html
14.5 Crore,1,Kanal,Islamabad,,House,,,2024,50,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_house_for_sale_in_dha_phase_2_islamabad_prime_location-54283808-339-1.html
11.49 Crore,14,Marla,Islamabad,,House,,10,,,1,,3,,https://www.zameen.com/Property/g_13_g-13_3_corner_sunface_triple_storey_owner_built_house_for_sale-54327243-3339-1.html
14.5 Crore,1,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/g_13_g-13_2_brand_new_house_for_sale-54322327-3338-1.html
7 Crore,7,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters,,Double Glazed Windows,Drawing Room,Lounge or Sitting Room,2,,https://www.zameen.com/Property/g_13_g-13_3_live_smart_in_g-13_3_family_comfort_luxury_roi_growth-54366222-3339-1.html
4.35 Crore,13.3,Marla,Islamabad,,House,04,Servant Quarters: 1,2020,01,1,1,2,,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_for_sale_good_quality_04_bedrooms_apartment_in_askari_tower_02_dha_phase_2_islamabad-54042859-11905-1.html
2.6 Crore,5,Marla,Islamabad,B-17,House,,,,,,,,,https://www.zameen.com/Property/islamabad_b-17_5_marla_designer_pair_new_house_for_sale-54295202-616-1.html
4.25 Crore,9.3,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,2,,https://www.zameen.com/Property/margalla_view_housing_society_margalla_view_society_-_block_a_ideal_2100_square_feet_house_has_landed_on_market_in_margalla_view_society_-_block_a_islamabad-54248136-3161-1.html
1.4 Crore,5,Marla,Islamabad,Bani Gala,House,,,2026,,,,,,https://www.zameen.com/Property/islamabad_bani_gala_1_5_storey_brand_new_house-53798942-340-1.html
37 Crore,1.4,Kanal,Islamabad,"F-8, Islamabad561.4 Kanal",House,Bathrooms,Servant Quarters,,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/islamabad_f-8_investor_alert_prime_f-8_corner_property_for_sale_sector_f-8_islamabad_700_sq_yards_corner_house_front_open_park_facing-54351471-166-1.html
54 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad561.3 Kanal",House,Bathrooms,Servant Quarters,,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/islamabad_f-7_investor_alert_brand_new_luxury_house_for_sale_in_f-7_islamabad_prime_f-7_location_front_open_brand_new_construction-54351267-165-1.html
2.95 Crore,8,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/kuri_road_phaf_officers_residencia_buy_a_centrally_located_1800_square_feet_flat_in_phaf_officers_residencia-53968527-13099-1.html
6.75 Crore,7.8,Marla,Islamabad,,House,3,Drawing Room,,1,,,,,https://www.zameen.com/Property/f_10_silver_oaks_apartments_3_bedroom_converted_into_2_beds-54349470-11308-1.html
3.22 Crore,6.7,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2015,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/jinnah_gardens_mall_of_imarat_2-bed_luxury_apartment_with_margalla_hills_view_at_imarat_residences-2-53803004-22031-1.html
6 Crore,14,Marla,Islamabad,Zaraj Housing Scheme,House,Bathrooms: 4,Servant Quarters: 1,2022,1,1,1,1,,https://www.zameen.com/Property/islamabad_zaraj_housing_scheme_14_marla_brand_new_double_unit_house_available_for_sale_prime_location_zaraj_housing_society-53815182-3508-1.html
3.3 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_100_owner_built_house_for_sale_in_bahria_enclave_islamabad-54317459-11972-1.html
2.4 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,Steam Room,1,,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54202751-13424-1.html
4.3 Crore,8,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/b_17_faisal_margalla_city_seven_marla_brand_new_double_storey_single_unit_60ft_wide_street_for_sale_in_faisal_margala_city_b-17_islamabad-54203290-13424-1.html
3.85 Crore,7,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_30x60_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54203381-12607-1.html
2.3 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,2,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_multi_gardens_b-17_islamabad_block_f-54203426-8527-1.html
2.9 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54203570-13424-1.html
5.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_10_marla_brand_new_designer_luxury_house_for_sale_in_multi_gardens_b-17_islamabad_block_c1-54203647-12607-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_double_storey_double_heighted_designer_luxury_house_for_sale_in_multi_gardens_b-17_islamabad_block_f-54203820-8527-1.html
5.25 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,1,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_10_marla_brand_new_double_storey_double_heighted_single_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54203870-12607-1.html
79.68 Lakh,2.7,Marla,Islamabad,"B-17, IslamabadInstallmentsPKR1.99 Lakh/month112.7 Marla",House,1,Servant Quarters,2028,1,Drawing Room,Lounge or Sitting Room,Study Room,,https://www.zameen.com/Property/islamabad_b-17_luxury_1_bedroom_apartment_in_b-17-54309696-616-1.html
32 Crore,1.3,Kanal,Islamabad,"F-11, Islamabad81.3 Kanal",House,Bathrooms: 8,Servant Quarters: 2,2024,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-11_brand_new_house_available_for_sale_in_f11-51610459-163-1.html
1.95 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2025,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/gandhara_city_gandhara_city_-_chanab_block_5_marla_house_for_sale_in_chenab_block_gandhara_city_islamabad-54151887-16783-1.html
5.7 Crore,4,Marla,Islamabad,D-12,House,,,,,,,,,https://www.zameen.com/Property/islamabad_d-12_brand_new_luxury_house_for_sale-54314623-160-1.html
9.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2023,3,2,,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_contemporary_luxury_villa_with_wooden_facade_premium_finishes-54309590-339-1.html
1.95 Crore,8.7,Marla,Islamabad,Defence Residency DHA-2 Islamabad...more,House,Bathrooms: 3,Drawing Room,,1,,,1,,https://www.zameen.com/Property/dha_defence_phase_2_defence_executive_apartments_three_bedroom_apartment_available_for_sale_in_defence_executive_apartment_defence_residency_dha-2_islamabad-53671582-9615-1.html
12 Crore,7,Kanal,Islamabad,Naval Farms Housing Scheme,House,,,,5,,,,,https://www.zameen.com/Property/islamabad_naval_farms_housing_scheme_naval_farms_housing_scheme_farm_house_sized_7_kanal_is_available-54308503-1724-1.html
21 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,2025,3,1,1,2,,https://www.zameen.com/Property/d_12_d-12_2_on_excellent_location_d-12_2_1_kanal_house_up_for_sale-53925182-3155-1.html
4.4 Crore,10.7,Marla,Islamabad,,House,3,Servant Quarters: 1,2025,3,2,2,2,,https://www.zameen.com/Property/e_11_1_the_veranda_residence_the_veranda_residence-53850516-9702-1.html
52 Crore,2.1,Kanal,Islamabad,"F-6, Islamabad562.1 Kanal",House,Bathrooms,Servant Quarters,,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/islamabad_f-6_investor_alert_premium_f-6_margalla_view_property_for_sale_sector_f-6_islamabad_margalla_facing_3-side_open_near_main_road-54351119-164-1.html
12.95 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,2,2,,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_ultra_luxury_house_for_sale_in_dha_phase_2_islamabad-54189428-339-1.html
2.85 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_5_marla_modern_house_available_for_sale_in_bahria_enclave_islamabad-54337430-11972-1.html
3.5 Crore,7,Marla,Islamabad,I-14,House,6,Servant Quarters: 1,,02,1,1,2,,https://www.zameen.com/Property/islamabad_i-14_7_marla_brand_new_double_storey_house_for_sale-53869014-1045-1.html
5.3 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters,2025,Double Glazed Windows,Drawing Room,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_branded_10_marla_corner_house_available_for_sale_in_a_block_topcity-1-53292807-1383-1.html
7.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,2,1,,1,,https://www.zameen.com/Property/kashmir_highway_eighteen_branded_10_marla_villa_in_eighteen_society-53292703-12602-1.html
7.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,2,1,,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_1_kanal_house_available_for_sale_in_topcity-1_b_block-53686712-9230-1.html
2.1 Crore,6,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,2,1,,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_1_5_storey_double_unit_brand_new_house_for_sale_in_multi_gardens_b-17_islamabad_block_e-54203943-3120-1.html
5.25 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_10_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54203991-12607-1.html
2.35 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,,2,2,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_double_unit_house_for_sale_in_faisal_margala_b-17_islamabad-54204092-13424-1.html
2.1 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters,2026,1,Drawing Room,Steam Room,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_double_unit_double_storey_house_for_sale_in_multi_gardens_b-17_islamabad_block_f-54204665-8527-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,2,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54214284-8527-1.html
2.8 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_multi_gardens_b-17_islamabad_block_f-54218471-8527-1.html
80 Lakh,2.8,Marla,Islamabad,,House,1,Drawing Room,2025,,,,1,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_1_bed_apartment_for_sale_in_multi_gardens_b-17_islamabad_block_b_main_markaz-54223683-3117-1.html
3.5 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2025,2,1,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_30x60_front_open_park_face_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad_block_e-54218524-3120-1.html
2.84 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_5_marla_ideal_location_solid_constructed_house_with_back_open_lawn_space_up_for_sale-54311753-11972-1.html
3.5 Crore,7,Marla,Islamabad,Faisal Town - F-18,House,Bathrooms: 4,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_faisal_town_7_marla_house_for_sale-53737283-8260-1.html
4.6 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,,1,1,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_brand_new_house_for_sale-54304423-9233-1.html
4.8 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_luxurious_brand_new_house_avialable_for_sale_in_block-d_topcity-1_islamabad-53816913-9233-1.html
8.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_20_marla_brand_new_house_for_sale_in_topcity-1_islamabad-53751527-9230-1.html
4.4 Crore,4,Marla,Islamabad,,House,4,5,,,,,,,https://www.zameen.com/Property/d_12_d-12_markaz_brand_new_house_for_sale-53460492-3158-1.html
8.6 Crore,8,Marla,Islamabad,,House,Bathrooms: 2,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/d_12_d-12_4_corner_house_for_sale-53550184-3157-1.html
5.1 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 7,Servant Quarters: 1,2026,3,1,,2,,https://www.zameen.com/Property/islamabad_top_city_1_branded_10_marla_front_back_open_house_for_sale_in_topcity_d_block-53644508-1383-1.html
4.8 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,Flooring,1,,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_branded_10_marla_house_available_for_sale_in_a_block_topcity-1-53619670-9231-1.html
5.65 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Drawing Room,2025,,,,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_corner_luxury_house_for_sale_in_topcity-1_block_d-53352635-9233-1.html
5 Crore,10,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_brand_new_10_marla_house_for_sale_in_a_block_prime_location_in_topcity-1-54086413-9231-1.html
5.3 Crore,10,Marla,Islamabad,,House,Bathrooms: 4,Drawing Room,2026,,,1,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_stunning_designer_house_for_sale_a_block_topcity-1-54088365-9231-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,1,2,1,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_double_storey_single_unit_house_for_sale_in_faisal_margalla_city_b-17_islamabad-54273481-13424-1.html
2.9 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2025,2,2,1,1,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_30x60_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad_block_c1-54289509-12607-1.html
4.3 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_30x60_designer_double_storey_double_heighted_single_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54294412-3120-1.html
2.5 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54304892-13424-1.html
4.9 Crore,8,Marla,Islamabad,,House,1,Servant Quarters: 1,2026,2,1,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_30x60_brand_new_double_storey_double_1_bedroom_with_attached_bath_in_basement_heighted_single_unit_designer_house_for_sale_in_multi_gardens_b-17_islamabad-54304958-3120-1.html
4.3 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,2,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_e_8_marla_brand_new_double_storey_double_unit_house_for_sale_in_multi_gardens_b-17_islamabad-54305117-3120-1.html
3.3 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54305419-13424-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_double_storey_single_unit_designer_house_for_sale_in_multi_gardens_b-17_islamabad-54322951-8527-1.html
38.5 Crore,17.8,Marla,Islamabad,"F-6, Islamabad7717.8 Marla",House,Bathrooms: 7,Servant Quarters,2025,Double Glazed Windows,Drawing Room,2,Study Room,,https://www.zameen.com/Property/islamabad_f-6_elegant_house_is_for_sale_in_f-6-53318282-164-1.html
2.8 Crore,5,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/bahria_town_bahria_enclave_designer_house_for_sale_in_bahria_enclave_islamabad-53640978-1705-1.html
3 Crore,8,Marla,Islamabad,,House,5,,,,,,,,https://www.zameen.com/Property/b_17_faisal_margalla_city_7_marla_house_for_sale_in_faisal_margalla_city_islamabad-54299919-13424-1.html
5.85 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,Double Glazed Windows,1,Lounge or Sitting Room,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_brand_new_10_marla_designer_house_for_sale_sector_c1_bahria_enclave-54300448-11987-1.html
15 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 4,Servant Quarters: 1,2018,2,1,1,1,,https://www.zameen.com/Property/islamabad_d-12_stunning_14_marla_house_in_d-12_available-54300087-160-1.html
1.2 Crore,7.3,Marla,Islamabad,"Islamabad Heights, G-15/4227.3 Marla",House,2,,,1,1,,,,https://www.zameen.com/Property/g_15_4_islamabad_heights_2_bed_luxury_apartment_on_3rd_floor_available_for_sale_in_islamabad_heights_g-15_islamabad-54085909-15499-1.html
30 Crore,1.3,Kanal,Islamabad,"F-11, Islamabad961.3 Kanal",House,,,,,,,,,https://www.zameen.com/Property/islamabad_f-11_brand_new_fully_furnished_designer_house_available_for_sale-54350718-163-1.html
15 Crore,14,Marla,Islamabad,,House,6,,,,,,,,https://www.zameen.com/Property/d_12_d-12_1_a_spacious_14_marla_house_in_d-12_1-54366623-3154-1.html
5.8 Crore,9.3,Marla,Islamabad,"Margalla Town, Islamabad449.3 Marla",House,,,,,,,,,https://www.zameen.com/Property/islamabad_margalla_town_8_4_marla_basement_ground_floor_for_sale-54366281-1028-1.html
9.1 Crore,1,Kanal,Islamabad,"DHA Phase 2 Islamabad
Kanal Bran Ne...more",House,,,,,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_kanal_brand_new_house_for_sale-54343086-339-1.html
10.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2024,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_brand_new_luxurious_house-52691402-339-1.html
1.1 Crore,4.2,Marla,Islamabad,,House,2,2,2023,Double Glazed Windows,1,1,2,,https://www.zameen.com/Property/dha_defence_phase_2_al-ghurair_giga_2_bed_flat_available_for_sale_in_el_cielo_al_ghurair_giga_defence_residency_dha_phase_2_gate_2_islamabad-54287515-15113-1.html
12.9 Crore,1,Kanal,Islamabad,,House,07,Servant Quarters: 02,2024,04,02,02,02,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_for_sale_brand_new_corner_07_beds_luxurious_01_kanal_house_dha_phase_2_islamabad-51538082-339-1.html
9.5 Crore,1,Kanal,Islamabad,,House,06,Servant Quarters: 02,2026,03,02,02,02,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_for_sale_prime_location_01_kanal_06_bed_room_house_with_high_quality_of_construction_work_in_dha_phase_2_islamabad-54300476-339-1.html
8.25 Crore,1,Kanal,Islamabad,"House For Sale DHA-1 Islamabad 
 1...more",House,5,Servant Quarters: 2,2018,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_5_bedroom_double_unit_house_available_for_sale-48653562-376-1.html
8 Crore,8.7,Marla,Islamabad,,House,3,Drawing Room,2025,2,,1,1,,https://www.zameen.com/Property/f_10_sukh_chayn_residence_sukh_chayn_recidence_f-10_3_bedroom_furnished_apartment_available_for_sale_beautiful_location-54346917-13589-1.html
50 Lakh,2.9,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2028,1,1,1,4,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_studio_apartment_for_sale_on_installments_in_dha_phase_1_islamabad-53324264-376-1.html
4.2 Crore,8,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,1,1,Steam Room,2,,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_8_marla_30x60_brand_new_double_unit_house_for_sale_in_block_e_mpchs_multi_garden_b17_islamabad-54338843-3115-1.html
4 Crore,8,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters,2026,2,Drawing Room,Steam Room,1,,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_8_marla_30x60_designer_double_highted_house_for_sale_in_block_e_mpchs_multi_garden_b17-54351832-3115-1.html
2.45 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters,2026,1,Drawing Room,Steam Room,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_25x50_double_unit_house_for_sale_in_block_f_mpchs_multi_garden_b17_islamabad-54351867-8527-1.html
7.5 Crore,10,Marla,Islamabad,,House,5,Servant Quarters: 1,2025,Double Glazed Windows,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_beautiful_designer_home_available_for_sale_on_very_reasonable_demand_in_dha_phase2_islamabad-53213611-339-1.html
5.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_beautiful_designer_10_marla_double_story_house_sector_c2_bahria_enclave_islamabad-54329706-11988-1.html
5.8 Crore,10,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_beautiful_designer_10_marla_double_storey_front_open_sector_c1_bahria_enclave_islamabad-54329753-11987-1.html
6 Crore,10,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_beautiful_designer_10_marla_double_story_front_open_sector_c1_bahria_enclave_islamabad-54338076-11987-1.html
4.5 Crore,4.4,Marla,Islamabad,"New Blue Area, IslamabadInstallmentsPKR6.75 Lakh/month224.4 Marla",House,2,Drawing Room,2025,Lobby in Building,,1,1,,https://www.zameen.com/Property/islamabad_new_blue_area_own_your_luxury_2_bed_apartment_on_the_most_lucrative_location_of_islamabad_with_just_10_of_down_payment_and_avail_5_year_easy_and_avail_flexible_installment_plan-53232359-16810-1.html
3.55 Crore,6.9,Marla,Islamabad,,House,Bathrooms: 2,Servant Quarters: 1,2024,1,1,1,1,,https://www.zameen.com/Property/gulberg_greens_skypark_one_two_bed_fully_luxury_furnished_apartment_available_for_sale_sky_park_one-54296573-15266-1.html
29 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad661.3 Kanal",House,Bathrooms: 6,Servant Quarters: 2,2023,4,2,1,2,,https://www.zameen.com/Property/islamabad_f-7_specious_666_sq_yard_60x100_house_for_sale_in_f-7_prime_location-49810942-165-1.html
7.7 Crore,1,Kanal,Islamabad,,House,Bathrooms: 9,Servant Quarters: 3,2016,8,3,4,5,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_20_marla_corner_double_unit_house_for_sale_in_dha_phase_2_in_investor_price_dha_phase_2_islamabad-54249584-339-1.html
4.5 Crore,4,Marla,Islamabad,"Location: D-12/4, Islamabad
 Proper...more",House,Bathrooms: 4,Servant Quarters: 1,2025,1,1,1,1,,https://www.zameen.com/Property/d_12_d-12_4_4_marla_prime_location_house_for_sale-53299458-3157-1.html
2.85 Crore,5,Marla,Islamabad,,House,,,2024,1,1,,,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_25x50_designer_house_sector_n_street_15_bahria_enclave-54281810-11975-1.html
1.35,5,Kanal,Islamabad,F-6,House,Bathrooms: 8,Servant Quarters: 2,2000,Double Glazed Windows,2,1,2,,https://www.zameen.com/Property/islamabad_f-6_5_kanal_corner_house_for_sale_prime_location_f-6_islamabad-53629770-164-1.html
26.5 Crore,88,Kanal,Islamabad,Sehala Farm House,House,Bathrooms: 9,Servant Quarters: 2,2023,2,2,Steam Room,1,,https://www.zameen.com/Property/islamabad_sehala_farm_house_farm_house_available_for_sale-52262687-12406-1.html
4.5 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Drawing Room,,Flooring,,,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_topcity-1_10_marla_designer_house_for_sale-53460173-9233-1.html
5.25 Crore,10,Marla,Islamabad,Top City 1,House,Bathrooms: 4,Servant Quarters: 1,2026,2,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_topcity-1_10_marla_designer_house_for_sale-54159153-1383-1.html
